#{"t_start": 1622658581.794474, "env_id": "HalfCheetah-v2"}
r,l,t
-262.425441,1000,0.568837
-355.902516,1000,1.130397
-320.233931,1000,2.802247
-259.49026,1000,3.361448
-302.086555,1000,4.985081
-197.955157,1000,5.553152
-361.712775,1000,7.193688
-465.783334,1000,7.762442
-267.920878,1000,9.417043
-297.29865,1000,9.970002
-295.623985,1000,12.109514
-348.194638,1000,12.754957
-275.933773,1000,15.017164
-349.783032,1000,15.703617
-345.507494,1000,17.479581
-302.445503,1000,18.096682
-335.479204,1000,20.198683
-351.676239,1000,20.889487
-324.276671,1000,23.297095
-319.842664,1000,24.053836
-306.739193,1000,26.31078
-324.238358,1000,27.031995
-346.631935,1000,28.93068
-297.582272,1000,29.482413
-315.398582,1000,31.262413
-293.250218,1000,32.112098
-356.897876,1000,33.96094
-335.557315,1000,34.588565
-190.526192,1000,36.364564
-323.041593,1000,36.992771
-327.276506,1000,38.765394
-293.715656,1000,39.393114
-315.386878,1000,41.146872
-271.539658,1000,41.765259
-248.396876,1000,43.658567
-380.256244,1000,44.278755
-362.990493,1000,46.034822
-306.252478,1000,46.656747
-258.876062,1000,48.448283
-326.344328,1000,49.067299
-268.054712,1000,50.828305
-167.087586,1000,51.448433
-243.031777,1000,52.070969
-109.297914,1000,53.853322
-214.693113,1000,54.481911
-297.58271,1000,56.25466
-234.677718,1000,56.887932
-265.24275,1000,58.669168
-246.485813,1000,59.308447
-291.256913,1000,61.06605
-243.59192,1000,61.703652
-199.323825,1000,63.472054
-282.633899,1000,64.104705
-136.722569,1000,65.862921
-164.803274,1000,66.490578
-182.881014,1000,68.253643
-282.240254,1000,68.892802
-235.788033,1000,70.660908
-185.376177,1000,71.284129
-250.702416,1000,73.080681
-169.455598,1000,73.70688
-196.192101,1000,75.47415
-326.594008,1000,76.103678
-228.384121,1000,77.933858
-268.491501,1000,78.55864
-218.492239,1000,80.30782
-253.024814,1000,80.940141
-224.52334,1000,82.707193
-145.504061,1000,83.332297
-175.179426,1000,85.08402
-152.102668,1000,85.721661
-209.380588,1000,87.49743
-298.798215,1000,88.132748
-168.766254,1000,89.985299
-141.028796,1000,90.610191
-188.296689,1000,92.391616
-142.799652,1000,93.019853
-203.280425,1000,94.785886
-121.849953,1000,95.421311
-256.003435,1000,97.170768
-282.043433,1000,97.801076
-131.292143,1000,99.575413
-126.982849,1000,100.219107
-157.115362,1000,102.004151
-305.046391,1000,102.640683
-188.714099,1000,103.273875
-108.057235,1000,105.03541
-89.251128,1000,105.667363
-157.242134,1000,107.520939
-136.553134,1000,108.154314
-174.194835,1000,109.928651
-290.718063,1000,110.550629
-87.044729,1000,112.33055
-84.291156,1000,112.9661
-79.354242,1000,114.801316
-102.108924,1000,115.442102
-171.543145,1000,117.199726
-136.110798,1000,117.819206
-119.318282,1000,119.579712
-52.710372,1000,120.205843
57.005715,1000,121.953718
-176.446704,1000,122.59861
-159.708907,1000,124.351694
-109.379186,1000,124.981052
55.142804,1000,126.741591
-172.676715,1000,127.369323
1.218043,1000,129.124597
-42.340304,1000,129.753754
15.495934,1000,131.5118
-36.0687,1000,132.134347
95.608258,1000,133.92158
33.837142,1000,134.548705
-13.383076,1000,136.333241
-126.68191,1000,136.969941
-172.068212,1000,138.789576
-164.709217,1000,139.412026
13.438861,1000,141.186683
-67.520482,1000,141.814345
25.767938,1000,143.610997
50.461131,1000,144.241766
41.904094,1000,146.017149
-37.318165,1000,146.643709
30.416065,1000,148.53081
-19.893346,1000,149.157036
128.363075,1000,150.933761
191.777416,1000,151.549832
89.340384,1000,153.342481
141.217564,1000,153.95558
-37.749633,1000,154.592516
-30.415624,1000,156.368506
190.024042,1000,156.997567
183.859874,1000,158.754398
177.093018,1000,159.388229
