#{"t_start": 1622654718.476987, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.050261
12.0,12,0.064892
23.0,23,0.084287
26.0,26,0.103084
32.0,32,0.138171
19.0,19,0.156471
28.0,28,0.176613
25.0,25,0.196641
15.0,15,0.20648
24.0,24,0.227822
40.0,40,0.255914
14.0,14,0.26869
27.0,27,0.286098
11.0,11,0.295788
24.0,24,0.31984
35.0,35,0.350664
36.0,36,0.374029
16.0,16,0.387201
61.0,61,0.46145
23.0,23,0.484326
13.0,13,0.495235
40.0,40,0.533031
13.0,13,0.546533
23.0,23,0.56066
15.0,15,0.569522
17.0,17,0.585619
36.0,36,0.650321
25.0,25,0.672281
16.0,16,0.690095
30.0,30,0.714294
14.0,14,0.725943
16.0,16,0.735506
24.0,24,0.753195
26.0,26,0.783265
28.0,28,0.799987
42.0,42,0.833779
14.0,14,0.843661
18.0,18,0.853572
13.0,13,0.864277
28.0,28,0.880823
13.0,13,0.886472
16.0,16,0.900464
25.0,25,0.926633
15.0,15,0.945256
58.0,58,1.024798
13.0,13,1.035064
14.0,14,1.051697
14.0,14,1.067811
9.0,9,1.076851
15.0,15,1.08565
17.0,17,1.10281
18.0,18,1.135509
12.0,12,1.145556
44.0,44,1.182355
17.0,17,1.194789
24.0,24,1.209597
13.0,13,1.225377
9.0,9,1.237809
28.0,28,1.318739
17.0,17,1.334804
40.0,40,1.36976
14.0,14,1.396639
46.0,46,1.500201
16.0,16,1.514448
26.0,26,1.538722
21.0,21,1.565951
22.0,22,1.586179
15.0,15,1.602849
34.0,34,1.635834
20.0,20,1.657288
20.0,20,1.676277
19.0,19,1.686656
29.0,29,1.708688
13.0,13,1.717868
32.0,32,1.745409
27.0,27,1.770305
14.0,14,1.792108
20.0,20,1.802265
47.0,47,1.880986
22.0,22,1.897424
21.0,21,1.915736
17.0,17,1.930478
17.0,17,1.952474
30.0,30,1.978913
26.0,26,2.008982
20.0,20,2.028351
14.0,14,2.051082
22.0,22,2.079734
14.0,14,2.098652
49.0,49,4.36295
30.0,30,4.385716
20.0,20,4.404198
27.0,27,4.428451
26.0,26,4.460478
19.0,19,4.475417
21.0,21,4.492451
13.0,13,4.509616
61.0,61,4.565724
52.0,52,4.632345
22.0,22,4.65317
26.0,26,4.673029
50.0,50,4.70526
27.0,27,4.726308
16.0,16,4.736493
13.0,13,4.750388
14.0,14,4.761912
10.0,10,4.784194
20.0,20,4.802208
15.0,15,4.818277
26.0,26,4.850161
13.0,13,4.862165
35.0,35,4.90183
13.0,13,4.918238
10.0,10,4.935269
43.0,43,5.000217
24.0,24,5.02327
18.0,18,5.039992
13.0,13,5.052407
